#chr	start	end	length	cnt_indels
chr21	45334414	45334429	16	2
chr21	45992717	45992737	21	3
chr21	46036980	46037001	22	2
chr22	17729247	17729267	21	2
chr22	21933251	21933267	17	2
chr22	22334143	22334154	12	2
chr22	23232492	23232504	13	2
chr22	25035215	25035238	24	2
chr22	26230103	26230118	16	2
chr22	37095282	37095298	17	3
chr22	38176751	38176767	17	2
chr22	39599152	39599176	25	2
chr22	40566308	40566325	18	2
chr22	42374911	42374925	15	2
chr22	43157555	43157564	10	2
chr22	43678694	43678709	16	2
chr22	44774283	44774303	21	2
chr22	46215070	46215097	28	2
chr22	46325267	46325302	36	2
chr22	49486900	49486914	15	2
